patent_name,patent_url,patent_title
"
                裸电芯绝缘装置及电池 - 佰腾专利检索
                ",/patent/view.html?patid=CN201610843613.0&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201610843613.0
"
                转接片、顶盖组件及二次电池 - 佰腾专利检索
                ",/patent/view.html?patid=CN201721527252.5&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201721527252.5
"
                电池模组 - 佰腾专利检索
                ",/patent/view.html?patid=CN201820418134.9&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201820418134.9
"
                集流体打孔设备 - 佰腾专利检索
                ",/patent/view.html?patid=CN201820257459.3&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201820257459.3
"
                电子控制单元程序更新方法和装置 - 佰腾专利检索
                ",/patent/view.html?patid=CN201711465626.X&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201711465626.X
"
                箱体 - 佰腾专利检索
                ",/patent/view.html?patid=CN201721557839.0&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201721557839.0
"
                切边装置 - 佰腾专利检索
                ",/patent/view.html?patid=CN201820454932.7&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201820454932.7
"
                一种锂离子电池组的采样结构 - 佰腾专利检索
                ",/patent/view.html?patid=CN201420694616.9&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201420694616.9
"
                电池模组上盖及电池模组 - 佰腾专利检索
                ",/patent/view.html?patid=CN201720185071.2&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201720185071.2
"
                二次电池及其电极构件 - 佰腾专利检索
                ",/patent/view.html?patid=CN201821680873.1&sc=&q=宁德时代&fq=&sort=&sortField=&page=1&rows=10,CN201821680873.1
